アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,平均速度,最高速度,総上昇量,総下降量,Training Stress Score®,減圧,ベストラップタイム,ラップ数,移動時間,経過時間,最低高度,最高高度
バイク,2025-06-05 15:34:25,false,"多摩区 バイク","18.79","404","00:50:35","129","148","22.3","40.4","79","77","0.0","いいえ","00:02:17.7","19","00:49:54","01:09:54","4","67"
HIIT,2025-06-05 12:16:13,false,"HIIT - カスタム","0.00","372","01:09:55","113","148","--","--","--","--","0.0","いいえ","00:00:37.8","53","00:00:00","01:09:55","--","--"
バイク,2025-06-04 14:01:34,false,"多摩区 バイク","28.68","609","01:12:07","135","152","23.9","39.8","130","130","0.0","いいえ","00:02:09.0","29","01:11:02","01:43:21","-6","67"
HIIT,2025-06-03 15:17:38,false,"HIIT - カスタム","0.00","303","01:07:39","105","128","--","--","--","--","0.0","いいえ","00:00:01.7","43","00:00:00","01:07:39","--","--"
バイク,2025-06-02 15:18:58,false,"多摩区 バイク","18.78","372","00:56:53","121","135","19.8","40.4","106","110","0.0","いいえ","00:02:36.7","19","00:55:33","01:14:19","4","67"
HIIT,2025-06-02 12:15:34,false,"HIIT - カスタム","0.00","317","01:08:56","107","136","--","--","--","--","0.0","いいえ","00:00:35.5","53","00:00:00","01:08:56","--","--"
HIIT,2025-05-31 16:10:47,false,"HIIT - カスタム","0.00","376","01:10:56","113","138","--","--","--","--","0.0","いいえ","00:00:20.8","49","00:00:00","01:10:56","--","--"
HIIT,2025-05-30 12:39:51,false,"HIIT - カスタム","0.00","282","01:06:54","102","127","--","--","--","--","0.0","いいえ","00:00:44.8","45","00:00:00","01:06:54","--","--"
バイク,2025-05-29 16:18:14,false,"多摩区 バイク","18.87","355","00:58:13","120","135","19.4","40.9","82","81","0.0","いいえ","00:02:29.1","19","00:56:51","01:37:30","4","67"
バイク,2025-05-28 15:35:39,false,"多摩区 バイク","28.55","496","01:22:42","119","136","20.7","35.2","129","125","0.0","いいえ","00:02:13.9","29","01:21:10","01:47:58","-5","67"
バイク,2025-05-27 15:19:45,false,"多摩区 バイク","18.76","322","00:53:59","115","131","20.9","38.5","102","101","0.0","いいえ","00:02:17.9","19","00:52:48","01:11:25","4","67"
HIIT,2025-05-27 12:14:10,false,"HIIT - カスタム","0.00","307","01:11:56","105","129","--","--","--","--","0.0","いいえ","00:00:35.6","54","00:00:00","01:13:22","--","--"
HIIT,2025-05-26 19:17:46,false,"HIIT - カスタム","0.00","360","01:09:38","113","136","--","--","--","--","0.0","いいえ","00:00:31.4","53","00:00:00","01:09:38","--","--"
バイク,2025-05-26 10:32:51,false,"多摩区 バイク","18.38","346","00:57:37","116","146","19.1","34.3","139","140","0.0","いいえ","00:01:34.1","19","00:55:42","01:49:58","4","67"
バイク,2025-05-24 10:47:50,false,"多摩区 バイク","18.52","332","00:56:37","115","136","19.6","36.3","64","69","0.0","いいえ","00:02:16.7","19","00:55:20","01:41:44","16","67"
バイク,2025-05-23 15:38:38,false,"多摩区 バイク","18.76","327","00:56:50","115","128","19.8","38.4","97","97","0.0","いいえ","00:02:25.1","19","00:55:38","01:13:59","4","67"
HIIT,2025-05-23 12:21:10,false,"HIIT - カスタム","0.00","279","01:12:15","99","122","--","--","--","--","0.0","いいえ","00:00:17.4","45","00:00:00","01:12:15","--","--"
バイク,2025-05-21 15:44:38,false,"多摩区 バイク","18.77","379","00:57:49","121","135","19.5","41.7","138","136","0.0","いいえ","00:02:36.2","19","00:56:37","01:16:59","5","67"
HIIT,2025-05-21 12:05:56,false,"HIIT - カスタム","0.00","316","01:12:27","106","128","--","--","--","--","0.0","いいえ","00:00:37.2","53","00:00:00","01:12:27","--","--"
バイク,2025-05-20 15:52:11,false,"多摩区 バイク","18.73","383","00:57:51","121","141","19.4","38.4","124","123","0.0","いいえ","00:02:36.7","19","00:56:44","01:22:01","5","67"
HIIT,2025-05-20 13:23:52,false,"HIIT - カスタム","0.00","393","01:10:10","114","148","--","--","--","--","0.0","いいえ","00:00:48.9","43","00:00:00","01:10:10","--","--"
バイク,2025-05-18 10:43:40,false,"多摩区 バイク","28.72","525","01:18:56","124","141","21.8","36.7","175","174","0.0","いいえ","00:02:18.9","29","01:17:30","02:16:21","-7","67"
HIIT,2025-05-17 12:29:15,false,"HIIT - カスタム","0.00","294","01:13:54","100","121","--","--","--","--","0.0","いいえ","00:01:00","41","00:00:00","01:13:54","--","--"
バイク,2025-05-16 15:30:10,false,"多摩区 バイク","18.80","354","00:48:31","125","147","23.2","41.4","66","66","0.0","いいえ","00:02:02.4","19","00:47:39","01:07:35","4","67"
HIIT,2025-05-16 12:36:43,false,"HIIT - カスタム","0.00","284","01:07:19","104","134","--","--","--","--","0.0","いいえ","00:00:02.7","55","00:00:00","01:07:19","--","--"
バイク,2025-05-15 13:45:29,false,"多摩区 バイク","29.26","528","01:18:40","123","149","22.3","38.8","150","149","0.0","いいえ","00:00:54.8","30","01:17:08","02:17:39","-7","67"
バイク,2025-05-14 15:21:37,false,"多摩区 バイク","18.70","392","00:49:57","129","144","22.5","42.5","127","126","0.0","いいえ","00:02:14.6","19","00:48:40","01:09:30","4","67"
HIIT,2025-05-14 12:17:12,false,"HIIT - カスタム","0.00","406","01:14:21","115","152","--","--","--","--","0.0","いいえ","00:00:42.6","53","00:00:00","01:14:21","--","--"
バイク,2025-05-12 15:47:51,false,"多摩区 バイク","20.03","12","00:59:05","97","103","20.3","35.7","--","27","0.0","いいえ","00:02:34.8","1","00:02:33","00:02:50.8","38","66"
HIIT,2025-05-12 11:32:12,false,"HIIT - カスタム","0.00","373","01:42:53","93","118","--","--","--","--","0.0","いいえ","00:01:00","3","00:00:00","01:42:53","--","--"
バイク,2025-05-11 13:07:46,false,"多摩区 バイク","19.07","377","00:55:37","121","146","20.6","36.5","117","118","0.0","いいえ","00:00:16.5","20","00:53:14","01:57:30","7","67"
バイク,2025-05-10 15:00:40,false,"多摩区 バイク","25.55","530","01:11:36","127","146","21.4","39.8","100","98","0.0","いいえ","00:02:07.4","26","01:10:39","02:16:22","16","67"
バイク,2025-05-09 15:05:06,false,"多摩区 バイク","28.75","558","01:11:35","129","149","24.1","41.4","169","170","0.0","いいえ","00:02:04.4","29","01:10:55","01:37:24","-6","67"
バイク,2025-05-08 15:49:36,false,"多摩区 バイク","18.81","372","00:50:10","125","144","22.5","38.0","98","102","0.0","いいえ","00:02:03.7","19","00:48:54","01:11:25","4","67"
HIIT,2025-05-08 12:15:40,false,"HIIT - カスタム","0.00","320","01:12:35","106","126","--","--","--","--","0.0","いいえ","00:00:31.6","54","00:00:00","01:12:35","--","--"
バイク,2025-05-07 14:04:48,false,"多摩区 バイク","25.44","471","01:07:38","124","144","22.6","40.2","171","170","0.0","いいえ","00:01:34.0","26","01:06:52","01:37:38","16","67"
HIIT,2025-05-06 12:25:04,false,"HIIT - カスタム","0.00","358","01:06:56","113","143","--","--","--","--","0.0","いいえ","00:00:32.6","52","00:00:00","01:06:59","--","--"
バイク,2025-05-05 15:51:19,false,"多摩区 バイク","18.75","361","00:50:17","124","142","22.4","44.5","116","115","0.0","いいえ","00:01:57.4","19","00:49:10","01:14:16","4","67"
HIIT,2025-05-05 12:30:42,false,"HIIT - カスタム","0.00","372","01:19:16","108","133","--","--","--","--","0.0","いいえ","00:00:21.6","52","00:00:00","01:19:16","--","--"
バイク,2025-05-04 10:48:11,false,"多摩区 バイク","28.72","532","01:19:32","122","137","21.7","40.7","146","145","0.0","いいえ","00:02:17.1","29","01:17:52","02:22:29","-6","67"
バイク,2025-05-03 15:25:04,false,"多摩区 バイク","18.59","365","00:50:06","125","144","22.3","44.2","71","76","0.0","いいえ","00:02:09.2","19","00:49:12","01:17:50","16","68"
HIIT,2025-05-03 12:02:34,false,"HIIT - カスタム","0.00","302","01:07:23","106","128","--","--","--","--","0.0","いいえ","00:00:27.1","52","00:00:00","01:07:23","--","--"
HIIT,2025-05-02 12:47:04,false,"HIIT - カスタム","0.00","338","01:11:03","108","135","--","--","--","--","0.0","いいえ","00:00:09.1","54","00:00:00","01:11:03","--","--"
HIIT,2025-04-30 15:48:41,false,"HIIT - カスタム","0.00","359","01:18:44","107","132","--","--","--","--","0.0","いいえ","00:00:23.4","52","00:00:00","01:18:44","--","--"
バイク,2025-04-30 12:28:04,false,"多摩区 バイク","18.79","386","00:49:32","128","147","22.8","45.0","144","142","0.0","いいえ","00:01:59.0","19","00:48:43","01:04:04","4","67"
バイク,2025-04-29 10:45:14,false,"多摩区 バイク","27.12","480","01:22:49","119","136","19.6","34.4","107","111","0.0","いいえ","00:00:37.5","28","01:21:35","02:31:05","-2","67"
HIIT,2025-04-28 16:34:10,false,"HIIT - カスタム","0.00","321","01:10:52","107","131","--","--","--","--","0.0","いいえ","00:00:06.2","58","00:00:00","01:10:52","--","--"
